  0.00104388   0.00649989 0
  0.00104529   0.00650959 0
  0.00102719   0.00638570 0
  0.00100849   0.00625790 0
  0.00098911   0.00612580 0
  0.00096900   0.00598894 0
  0.00115418   0.00725925 0
  0.00113925   0.00715603 0
  0.00112398   0.00705062 0
  0.00110835   0.00694284 0
  0.00109232   0.00683248 0
  0.00098755   0.00611512 1
  0.00096748   0.00597860 1
  0.00094660   0.00583681 1
  0.00092480   0.00568914 1
  0.00090198   0.00553486 1
  0.00109333   0.00683941 1
  0.00113953   0.00715795 0
  0.00100665   0.00624539 0
  0.00098733   0.00611368 0
  0.00096728   0.00597721 0
  0.00112561   0.00706186 0
  0.00110993   0.00695369 0
  0.00109385   0.00684298 0
  0.00107734   0.00672949 0
  0.00106038   0.00661298 0
  0.00104290   0.00649319 0
  0.00102577   0.00637597 0
  0.00100711   0.00624848 0
  0.00098777   0.00611667 0
  0.00096770   0.00598010 0
  0.00116911   0.00736263 0
  0.00115448   0.00726134 0
  0.00113954   0.00715804 0
  0.00112426   0.00705256 0
  0.00110862   0.00694471 0
  0.00109259   0.00683429 0
  0.00098863   0.00612252 0
  0.00096854   0.00598577 0
  0.00094762   0.00584374 0
  0.00092579   0.00569583 0
  0.00090293   0.00554131 0
  0.00104482   0.00650633 0
  0.00102673   0.00638254 0
  0.00100804   0.00625484 0
  0.00098868   0.00612283 0
  0.00096858   0.00598607 0
  0.00106235   0.00662654 0
  0.00119895   0.00756962 0
  0.00109518   0.00685210 0
  0.00107863   0.00673832 0
  0.00106162   0.00662154 0
  0.00102719   0.00638568 0
  0.00100848   0.00625788 0
  0.00098911   0.00612578 0
  0.00096900   0.00598892 0
  0.00094807   0.00584679 0
  0.00116976   0.00736712 0
  0.00115510   0.00726564 0
  0.00114014   0.00716217 0
  0.00112484   0.00705654 0
  0.00110918   0.00694856 0
  0.00098866   0.00612273 0
  0.00096857   0.00598597 0
  0.00094765   0.00584394 0
  0.00092582   0.00569602 0
  0.00090296   0.00554149 0
  0.00111102   0.00696120 0
  0.00109491   0.00685024 0
  0.00107837   0.00673652 0
  0.00106137   0.00661980 0
  0.00104386   0.00649979 0
  0.00112674   0.00706964 0
  0.00112674   0.00706964 0
  0.00096941   0.00599172 0
  0.00094847   0.00584949 0
  0.00092661   0.00570138 0
  0.00076903   0.00464440 0
  0.00069860   0.00417874 0
  0.00079919   0.00484518 0
  0.00069800   0.00417480 0
  0.00073440   0.00441490 0
  0.00065639   0.00390187 0
  0.00061004   0.00359989 0
  0.00076805   0.00463790 0
  0.00073456   0.00441593 0
  0.00090276   0.00554016 0
  0.00076757   0.00463469 0
  0.00069860   0.00417869 0
  0.00073410   0.00441289 0
  0.00094704   0.00583979 0
  0.00073441   0.00441494 0
  0.00073441   0.00441494 0
  0.00073457   0.00441596 0
  0.00065654   0.00390280 0
  0.00079971   0.00484859 0
  0.00069758   0.00417204 0
  0.00079871   0.00484195 0
  0.00092603   0.00569740 0
  0.00069772   0.00417295 0
  0.00079921   0.00484528 0
  0.00073487   0.00441801 0
  0.00069875   0.00417972 0
  0.00069669   0.00416615 0
  0.00098670   0.00610934 0
  0.00060842   0.00358935 0
  0.00079752   0.00483402 1
  0.00092520   0.00569181 0
  0.00069712   0.00416899 0
  0.00079917   0.00484500 0
  0.00079818   0.00483839 0
  0.00073393   0.00441177 0
  0.00079784   0.00483617 0
